E(level)(keV),Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ),Final Levels,
0,0+,STABLE,,,,,
1633.674 15,2+,0.73 ps 4,1633.602 15,100,[E2],0,0+
4247.7 11,4+,64 fs 6,2613.8 11,100,[E2],1633.674,2+
4966.51 20,2-,3.3 ps 4,"3332.54 20 ,    4965.85 20","99.4 2 ,     0.6 2","[E1+M2+E3], [M2]","1633.674,         0.0","2+, 0+"
5621.4 17,3-,"139 fs 35 , % IT = 7 3, % α = 93 3","654.9 18 ,    3987.3 17 ,    5620.6 17","4.8 16 ,    87.6 10 ,     7.6 10","[M1], [E1], [E3]","4966.51,      1633.674,         0.0","2-, 2+, 0+"
5787.7 26,1-,"0.028 keV 3 , % IT = 0.016 3, % α = 100","4154 3 ,    5787 3","82 5 ,    18 5","[E1], [E1]","1633.674,         0.0","2+, 0+"
6706 47,,,,,,,
6725 5,0+,"19.0 keV 9 , % IT = 1.7×10-4, % α = 100","5090 5 ,    6724 5","100,","[E2], [E0]","1633.674,         0.0","2+, 0+"
7004.0 36,4-,305 fs 62,"1383 4 ,    2037 4 ,    2756 4 ,    5369 4","25,    11,    63.5,     0.5 2","[M1], [E2], [E1], [M2]","5621.4,      4966.51,      4247.7,      1633.674","3-, 2-, 4+, 2+"
7156.3 5,3-,"8.2 keV 3 , % IT = 2.0×10-5 2, % α = 100","1369 3 ,    2908.4 12","40 5 ,    60 5","[E2], [E1]","5787.7,      4247.7","1-, 4+"
7191 3,0+,"3.4 keV 2 , % IT = 1.29×10-4 25, % α = 100","5556 3 ,    7190 3","100,","[E2], [E0]","1633.674,         0.0","2+, 0+"
7421.9 12,2+,"15.1 keV 7 , % IT = 1.9×10-4 3, % α = 100","3173.9 17 ,    5787.3 12 ,    7420.4 12","≤7.6,   ≥89.2,   ≤10.8",", [M1+E2],","4247.7,      1633.674,         0.0","4+, 2+, 0+"
7833.4 15,2+,"2 keV, % IT = 3.4×10-3, % α = 100","3585.4 19 ,    6198.7 15 ,    7831.8 15","<2,    17 1 ,    83 1",", [M1], [E2]","4247.7,      1633.674,         0.0","4+, 2+, 0+"
8453 4,5-,"0.013 keV 4 , % IT = 0.10 4, % α = 99.90 4",2832 5,100,[E2],5621.4,3-
8700,0+,"> 800 keV, % α = 100",,,,,
8708 7,1-,"2.1 keV 8 , % IT = 3.3×10-3 15, % α = 100","7073 7 ,    8706 7","13 8 ,    87 8","[E1], [E1]","1633.674,         0.0","2+, 0+"
8777.6 22,6+,"0.11 keV 2 , % IT = 0.091 21, % α = 100",4529.3 25,100,[E2],4247.7,4+
8820,(5-),"< 1 keV, % α = 100",,,,,
8854 5,1-,"19 keV, % α = 100",,,,,
90.0E+2 18,2+,"≈ 800 keV, % α = ?",,,,,
9031 7,4+,"3 keV, % IT = 0.011, % α = 100","4782 7 ,    7396 7","<2,   100",", [E2]","4247.7,      1633.674","4+, 2+"
9116 3,3-,"3.2 keV, % IT = 8×10-4, % α = 100","3495 4 ,    4149 3 ,    7480 3","17 4 ,    33 5 ,    50 5","[M1], [M1], [E1]","5621.4,      4966.51,      1633.674","3-, 2-, 2+"
9196 30,2+,,,,,,
9318 2,(2-),,7682.7 20,100,,1633.674,2+
9487 5,2+,"29 keV 15 , % IT = 9×10-4 6, % α = 100","7848 3 ,    9481 3","100,","[M1],","1633.674,         0.0","2+, 0+"
9873 4,3+,,"2451 5 ,    4252 5 ,    4905 4 ,    5624 5 ,    8237 4 ,    9870 4","≈3,    ≈7,    ≤5,    12 3 ,    78,    <0.5",", , , , ,","7421.9,      5621.4,      4966.51,      4247.7,      1633.674,         0.0","2+, 3-, 2-, 4+, 2+, 0+"
9935 12,(1+),< 24.3 fs,"4967 12 ,    8299 12","22 5 ,    78 5",",","4966.51,      1633.674","2-, 2+"
9990 8,4+,"155 keV 30 , % IT = 6×10-4 3, % α = 100","8354 8 ,    9987 8","100,","[E2],","1633.674,         0.0","2+, 0+"
10262 5,5-,"145 keV 40 , % α = 100",,,,,
10273.2 19,2+,"≤ 0.3 keV, % IT = ?, % α = ?","2440.4 33 ,    2852 4 ,    4652 4 ,    5306 3 ,    8638 3 ,   10271 3","0.22 6 ,     6.9 4 ,     2.1 2 ,     1.3 1 ,    88.9 5 ,     0.65 14","[M1], [M1], [E1], [E1], [M1], [E2]","7833.4,      7421.9,      5621.4,      4966.51,      1633.674,         0.0","2+, 2+, 3-, 2-, 2+, 0+"
10406 5,3-,"80 keV, % α = 100",,,,,
10553 5,4+,"16 keV, % α = 100",,,,,
10584 5,2+,"24 keV, % α = 100",,,,,
10609 6,6-,16 fs 5,"2156 8 ,    3605 8","4.5 12 ,    95.5 12","[M1], [E2]","8453,      7004.0","5-, 4-"
10694 6,"4-,3+",,"5726 6 ,    6445 6","75 4 ,    25 4",",","4966.51,      4247.7","2-, 4+"
10800 75,4+,"350 keV, % α = 100",,,,,
10840 6,3-,"45 keV, % IT = ?, % α = ?",,,,,
10843 4,2+,"13 keV, % α = 100",,,,,
10884 3,3+,< 21 fs,"6635 4 ,    9248 3","23 5 ,    77 5",",","4247.7,      1633.674","4+, 2+"
10917 6,3+,,,,,,
10940 9,2+,,,,,,
109.7E+2 12,0+,"580 keV, % α = 100",,,,,
11020 8,4+,"24 keV, % α = 100",,,,,
11090 3,4+,"≤ 0.5 keV, % IT = ?, % α = ?","6841 4 ,    9454 3","99.50 25 ,     0.50 25","[M1], [E2]","4247.7,      1633.674","4+, 2+"
11116 9,2+,,,,,,
11240 23,1-,"175 keV, % α = 100",,,,,
11262.3 19,1+,,"9626.1 19 ,   11258.9 19","16 5 ,    84 5","[M1], [M1]","1633.674,         0.0","2+, 0+"
11270 5,1-,"≤ 0.3 keV, % IT = ?, % α = ?","1952 6 ,    2416 7 ,    6302 5 ,    9634 5 ,   11267 5","9 1 ,    27.0 15 ,     6.5 10 ,     2.5 10 ,    55 2","[M1], [M1], [M1], [E1], [E1]","9318,      8854,      4966.51,      1633.674,         0.0","(2-), 1-, 2-, 2+, 0+"
11320 9,2+,"40 keV 10 , % α = 100",,,,,
11528 6,"3+,4-",≤ 21 fs,"4523 7 ,    6560 6 ,    7279 6",",    70 3 ,    30 3",", ,","7004.0,      4966.51,      4247.7","4-, 2-, 4+"
11555 6,(3+),,"4550 7 ,    9918 6",",",",","7004.0,      1633.674","4-, 2+"
11558 4,0+,"1.1 keV 4 , % IT = ?, % α = ?","7309 5 ,    9921 4","<8,   100",",","4247.7,      1633.674","4+, 2+"
11601 10,2-,,,,,,
11653 5,(3+),,"7404 6 ,   10016 5","86 3 ,    14 3",",","4247.7,      1633.674","4+, 2+"
11885 7,2+,"46 keV, % IT = ?, % α = ?",,,,,
11928 4,4+,"0.44 keV 15 , % IT = 6×10-3 3, % α = 100","7678 5 ,   10291 4","79 11 ,    21 11","[M1], [E2]","4247.7,      1633.674","4+, 2+"
11951 4,8+,"0.035 keV 10 , % IT = 0.022 7, % α = 100",3173 5,100,[E2],8777.6,6+
11985 16,1-,"30 keV 5 , % IT = ?, % α = ?",,,,,
12098 6,2-,,,,,,
12137 5,6+,% α = 100,,,,,
12221 4,2+,"< 1 keV, % IT = ?, % α = ?",10584 4,100,,1633.674,2+
12253 10,4+,"155 keV 15 , % α = 100",,,,,
12256 3,3-,"< 1 keV, % IT = ?, % α = ?","6634 4 ,   10619 3","37.0 15 ,    63.0 15",",","5621.4,      1633.674","3-, 2+"
12327 10,2+,"390 keV 50 , % α = 100",,,,,
12401 5,3-,"37.3 keV 9 , % IT = 5×10-4, % α = 100","8151 6 ,   10764 5 ,   12397 5","≈70,   ≈29,    ≈1","[E1], [E1],","4247.7,      1633.674,         0.0","4+, 2+, 0+"
12436 4,0+,"24.4 keV 5 , % IT = 7.0×10-4 21, % α = 100",10796 5,100,[E2],1633.674,2+
12472 10,(2+),"124 keV 6 , % α = 100",,,,,
12585 5,6+,"72 keV 9 , % α = 100",,,,,
12592 15,(2+),"145 keV 25 , % α = 100",,,,,
12713 5,5-,"84 keV 8 , % α = 100",,,,,
12743 10,(2+),"61 keV 12 , % α = 100",,,,,
12836 5,1-,"30 keV 5 , % α = 100",,,,,
12957 5,2+,"38 keV 4 , % α = 100",,,,,
13048 5,4+,"18 keV 3 , % α = 100",,,,,
13060.7 21,2-,"1.0 keV, % p = ?, % α = ?",,,,,
13095 6,2+,"162 keV 13 , % α = 100",,,,,
13105 5,6+,"102 keV 5 , % α = 100",,,,,
13137 5,3-,"48 keV 4 , % α = 100",,,,,
13171.3 21,1+,"2.3 keV 2 , % IT = ?, % p = ?, % α = ?",,,,,
13222 10,0+,"40 keV 13 , % α = 100",,,,,
13224 15,1-,"80 keV, % p = ?, % α = ?",,,,,
13226 5,3-,"53 keV 4 , % α = 100",,,,,
13307.5 21,1+,"0.9 keV 1 , % IT = ?, % p = ?, % α = ?",,,,,
13338 5,7-,"0.08 keV 3 , % α = 100",,,,,
13341 5,4+,"26 keV 3 , % α = 100",,,,,
13414 2,3-,"24 keV 3 , % α = 100",,,,,
13426 5,(5-),"49 keV 7 , % α = 100",,,,,
13461 10,1-,"195 keV 25 , % p = ?, % α = ?",,,,,
13484 2,1+,"6.4 keV 3 , % IT = ?, % p = ?, % α = ?","8515.6 20 ,   11846.5 20","5,    95",",","4966.51,      1633.674","2-, 2+"
13507 5,1-,"24 keV 8 , % p = ?, % α = ?",,,,,
13529 5,2+,"61 keV 8 , % α = 100",,,,,
13530 15,(0+),"76 keV 32 , % α = 100",,,,,
13573 5,2+,"12 keV 5 , % α = 100",,,,,
13586 3,2+,"9 keV 1 , % p = ?, % α = ?",,,,,
13642 3,0+,"17 keV 1 , % p = ?, % α = ?",,,,,
13676.0 23,(2-),"4.5 keV 2 , % IT = ?, % p = ?, % α = ?",,,,,
13677 5,5-,"11 keV 2 , % α = 100",,,,,
13692 10,7-,"310 keV 30 , % α = 100",,,,,
13736.0 25,1+,"7.7 keV 5 , % IT = ?, % p = ?, % α = ?",,,,,
