#============ Odd neutron ===========================================================
# Nuclei						Z					A					I					Omega_sp/<r**2>		Omega_exp/<r**2>	Uncertainty
	36Kr83					36				83				4.5				-2.087							-0.87							0.29
	54Xe131					54				131				1.5				0.164							0.17								0.04
	56Ba137					56				137				1.5				0.164							0.1742							0.0019
	64Gd155					64				155				1.5				-1.148							-5.1								1.9
	70Yb173					70				173				2.5				0.547							20								47
	80Hg201					80				201				1.5				-1.148							-0.346							0.035
	84Po207					84				207				2.5				0.547							0.287							0.026
#============== Odd proton ==========================================================
	17Cl35					17				35				1.5				-0.068							-0.1607						0.0026
	17Cl37					17				37				1.5				-0.068							-0.1202						0.0025
	21Sc45					21				45				3.5				3.794							-0.506							3.831
	31Ga69					31				69				1.5				1.676							0.58								0.11
	31Ga71					31				71				1.5				1.676							0.78								0.11
	35Br79					35				79				1.5				1.676							0.576							0.0
	35Br81					35				81				1.5				1.676							0.630							0.0
	37Rb87					37				87				1.5				1.676							-2.7								1.8
	49In113					49				113				4.5				4.684							2.21								0.05
	49In115					49				115				4.5				4.684							2.18								0.05
	53I127						53				127				2.5				2.823							0.604							0.0
	55Cs133					55				133				3.5				0.094							2.9								0.4
	79Au197					79				197				1.5				-0.068							0.0265							0.0019
	83Bi209					83				209				4.5				0.415							1.43								0.08
