
Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
0 n 1          0    10.2 m    1/2+     -1.9130427(5)     R           2014Ol01            Chin. Phys. C38 090001 (2014)

1 H 1          0    stable    1/2+     +2.792847351(9)   R           2014Ol01            Chin. Phys. C38 090001 (2014)

-1 H 1   0    stable       1/2+     -2.792847344(4)   R           2017Sm05            Nature 550 371 (2017)

1 H 2          0    stable    1+       +0.857438231(5)   R           2014Ol01            Chin. Phys. C38 090001 (2014)

1 H 3          0    12.33 y   1/2+     +2.978962460(14) R           2014Ol01            Chin. Phys. C38 090001 (2014)

2 He 3       0    stable    1/2+     -2.12762531(3)    R           2012Mo42            RMP 84 1527 (2012)

3 Li 6       0    stable    1+       +0.822043(3)      NMR         2012Ja19            PNMRS 67 49 (2012)

3 Li 7       0    stable    3/2-     +3.256407(12)     NMR         2012Ja19            PNMRS 67 49 (2012)

3 Li 8       0    840 ms    2+       +1.65350(2)       b-NMR       1978Wi13/1962Co08   PL A67 423 (78)/PR 126 1506 (62)

3 Li 9       0    178 ms    3/2-     3.43666(6)        b-NMR       2005Bo45            PR C72 044309 (05)

3 Li 11      0    8.75 ms   3/2-     +3.6711(2)        b-NMR       2008Ne11            PRL 101 132502 (08)

4 Be 7       0    53.2 d    3/2-     -1.399280(4)      LMDR        2008Ok01            PRL 101 212502 (08)

4 Be 9       0    stable    3/2-     -1.177430(5)      NMR         2013An23            CPL 588 57 (2013)

4 Be 11      0    13.8 s    1/2+     -1.6816(8)        b-NMR       1999Ge18            PRL 83 3792 (99)

5 B 8          0    0.77 s    2+       1.0355(3)         b-NMR       1973Mi01            JPJS 34 156 (73)

5 B 10       0    stable    3+       1.8004636(8)      NMR         2009Ja11            JCP 130 044309 (2009)

5 B 11       0    stable    3/2-     2.688378(1)       NMR         2009Ja11            JCP 130 044309 (2009)

5 B 12       0    20.2 ms   1+       +1.003(1)          b-NMR       1990Mi16            NP A516 365 (90)

5 B 13       0    17.3 ms   3/2-     +3.1778(5)        b-NMR       2004Na38            NP A746 509c (04)

5 B 14       0    12.5 ms   2-       1.185(5)          b-NMR       1995Ok04            PL B354 41 (95)

5 B 15       0    9.9 ms    3/2-     2.659(15)         b-NMR       1995Ok04            PL B354 41 (95)

5 B 17       0    5.1 ms    (3/2-)   2.55(2)           b-NMR       1996Ue02            PR C53 2142 (96)

6 C 9          0    126 ms    3/2-     1.3914(5)         b-NMR       1995Ma48            NP A558 153c (1995)

6 C 11       0    20.4 m    3/2-     -0.964(1)         AB          1970Wo11            ZP 236 337 (70)

6 C 13       0    stable    1/2-     +0.702369(4)      NMR         2005An15            CPL 411 111 (2005)

6 C 15       0    2.45 s    1/2+     1.720(9)          b-NMR       2002As06            NP A704 88c (02)

6 C 17       0    193 ms    (3/2+)   0.758(4)          b-NMR       2002Og02            EurPJ A13 81 (02)

7 N 12       0    11.0 ms   1+       0.4571(1)         b-NMR       2010Zh03            Chin Phys Lett 27 022102 (10)

7 N 13       0    9.96 m    1/2-     0.3219(4)         AB          1964Be24            PR 136 B27 (64)

7 N 14       0    stable    1+       +0.403573(2)      NMR         2005An15            CPL 411 111 (2005)

7 N 15       0    stable    1/2-     -0.2830569(14)    NMR         2005An15            CPL 411 111 (2005)

7 N 16       0    7.13 s    2-       1.9856(11)        b-NMR       2001Ma42            PRL 86 3735 (01)




13
7 N 17     0     4.17 s    1/2-   0.3552(4)       b-NMR         2009De34            PR C80 037306 (09)

7 N 18     0     624 ms    1-     0.3274(4)       b-NMR         2009De34            PR C80 037306 (09)

7 N 19     0     0.27 s    1/2-   0.305(15)       b-NMR         2004Ka22            NP A734 481 (04)

8 O 13     0     8..6 ms   3/2-   1.3892(3)       b-NMR         1996Ma38            HFI 97/98 519 (96)

8 O 15     0     122 s     1/2-   0.71908(12)     b-NMR         1993Ta28            HFI 78 105 (93)

8 O 17     0     stable    5/2+   -1.893543(10)   NMR           2005An15            CPL 411 111 (2005)

8 O 19     0     26.9 s    5/2+   1.53238(7)      b-NMR         1999Mi16            PL B457 9 (99)

9 F 17     0     64.5 s    5/2+   +4.7213(3)      b-NMR         1993Mi33            HFI 78 111 (93)

9 F 19     0     stable    1/2+   +2.628321(4)    NMR           2016AD43            Phys Chem Chem Phys 18 18483 (2016)

9 F 20     0     11.1 s    2+     +2.09335(9)     b-NMR         L                   ARO p44 (96)

9 F 21     0     4.16 s    5/2+   3.9194(12)      b-NMR         1999Mb13            HFI 120/121 673 (99)

9 F 22     0     4.23 s    4+     (+)2.6944(4)    b-NMR         2010Mi13            NP A834 75c (10)

10 Ne 17   0     109 ms    1/2-   +0.7873(14)     CFBLS         2005Ge06            PR C71 064319 (2006)

10 Ne 19   0     17.2 s    1/2+   -1.88515(7)     b-NMR         1982Ma39            PR C26 1753 (82)

10 Ne 21   0     stable    3/2+   -0.66170(3)     MB            1957La08            PR 107 1202 (57)

10 Ne 23   0     37.2 s    5/2+   -1.0794(10)     b-NMR         1994Hi09            Z. Naturforsch. 49a 27 (94)

10 Ne 25   0     0.60 s    1/2+   -1.0060(5)      CFBLS         2005Ge06            PR C71 064319 (2006)

11 Na 20   0     0.448 s   2+     +0.3694(2)      OP/RD         1975Sc20            NP A246 187 (75)

11 Na 21   0     22.5 s    3/2+   +2.38610(4)     AB            1965Am01            PR 137 B1157 (65)

11 Na 22   0     2.60 y    3+     +1.746(3)       AB            1949Da01            PR 76 1068 (49)

11 Na 23   0     stable    3/2+   +2.21750(3)     NMR           2012An18            CPL 532 1 (2012)

11 Na 24   0     15.0 h    4+     +1.6903(8)      AB            1966Ch15/1973CoZG   PR 150 933 (66)/BAPS 18 727 (73)
11 Na 24  472   20.2 ms   1+     -1.931(3)       b-NMR         1980He08            PL B94 28 (80)

