Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference


5 B 10      718      0.707 ns   1+     +0.63(12)        IPAC            1972Av01         NP A182 359 (72)


6 C 13     3854       8.5 ps    5/2+    1.40(4)         RIV/D           1981Ru04         NP A359 442 (81)


6 C 14     6728       66 ps      3-     0.82(2)         RIV/D           1974Al07          PR C9 1748 (74)


6 C 15      740      2.61 ns    5/2+    1.76(3)         RIV/D           1980As01          JP G6 251 (80)


7 N 14     5106       4.3 ps     2-     1.32(8)         RIV/D           1978Mo27          JP G4 1593 (78)


7 N 15     5270      1.79 ps    5/2+    2.35(18)        RIV/D           1983Bi10          JP G9 1407 (83)


7 N 16      298      91.3 ps     3-     1.60(6)         RIV/D           1984Bi03         NP A413 503 (84)
7 N 16      397       3.9 ps     1-    -2.11(15)        RIV/D           1975As02          JP G1 415 (75)


HFI 4 181 (78)/JP G9
"8 O 15     5241      2.25 ps    5/2+    +0.65(7)     RIV/D, IMPAC   1978Be73/1983Bi10"
1407 (83)


8 O 16     6130      18.4 ps     3-    +1.668(12)       RIV/D           1984As03         JP G10 1079 (84)


8 O 18     1982      1.94 ps    2+      -0.57(3)        RIV/D           1976As04          JP G2 477 (76)
8 O 18     3555      17.2 ps    4+       2.6(4)         RIGV            1974Be63         NP A235 410 (74)


8 O 19      96       1.39 ns    3/2+    -0.72(9)        IPAC            1976Go09         NP A262 214 (76)


8 O 20     1674       7.3 ps    2+      0.70(3)         RIV/D           1980Ru01         NP A344 294 (80)


9 F 18      937       47 ps     3+      +1.6(2)         IMPAC           1981St21         JPJa 50 2804 (81)
9 F 18      1121      162 ns     5+      +2.68(3)       TDPAD            1967Sc09          PL 24B 457 (67)


9 F 19      197      89.3 ns    5/2+   +3.605(8)       TDPAD            1969Bi18          NIM 67 169 (69)
9 F 19      1346      2.86 ps    5/2-    0.67(11)        RIV/D           1983Bi03          JP G9 293 (83)


10 Ne 19     238      18.0 ns    5/2+   -0.740(8)       TDPAD            1969Bl02          NP A123 65 (69)


HFI 5 347 (78)/NP
"10 Ne 20    1634      0.73 ps    2+      +1.08(8)     RIV/D, IMPAC   1978Za13/1975Ho15"
A248 291 (75)
10 Ne 20    4247       64 fs     4+      +1.5(3)          TF             2003Le01         PL B551 249 (03)


10 Ne 21     351       7.1 ps    5/2+    0.49(4)         RIV/D           1978Ro10          JP G4 431 (78)


10 Ne 22    1275       3.6 ps    2+      +0.65(2)        RIV/D           1977Ho01         NP A275 237 (77)
10 Ne 22    3357       225 fs    4+      +2.2(6)          TF             1984Ba10         PR C29 1163 (84)




15
Nucleus    Ex (keV)    T1/2       I        munm       Method    NSR Keynumber    Journal Reference


11 Na 21     332      7.1 ps    5/2+       3.6(3)      RIV/D       1977Be30        PR C16 679 (77)


11 Na 22     583      243 ns     1+      +0.535(10)   TDPAC        1966Su07        PR 151 910 (66)
11 Na 22     2211      14.9 ps    1-       0.36(7)      RIV/D       1976Be06        PR C13 895 (76)


PRL 114 062501
12 Mg 24    1369      1.33 ps    2+       +1.08(3)    TD-RIV       2015Ku05
(2015)
